#separator:Semicolon
#html:false
"Indicativo
Presente

yo [abandonar]";"yo abandono"
"Indicativo
Presente

Ustedes [copiar]";"Ustedes copian"
"Indicativo
Presente

yo [cortar]";"yo corto"
"Indicativo
Presente

tú [cortar]";"tú cortas"
"Indicativo
Presente

él [cortar]";"él corta"
"Indicativo
Presente

ella [cortar]";"ella corta"
"Indicativo
Presente

Usted [cortar]";"Usted corta"
"Indicativo
Presente

nosotros [cortar]";"nosotros cortamos"
"Indicativo
Presente

nosotras [cortar]";"nosotras cortamos"
"Indicativo
Presente

vosotros [cortar]";"vosotros cortáis"
"Indicativo
Presente

vosotras [cortar]";"vosotras cortáis"
"Indicativo
Presente

ellos [cortar]";"ellos cortan"
"Indicativo
Presente

ellas [cortar]";"ellas cortan"
"Indicativo
Presente

Ustedes [cortar]";"Ustedes cortan"
"Indicativo
Presente

yo [costar]";"yo cuesto"
"Indicativo
Presente

tú [costar]";"tú cuestas"
"Indicativo
Presente

él [costar]";"él cuesta"
"Indicativo
Presente

ella [costar]";"ella cuesta"
"Indicativo
Presente

Usted [costar]";"Usted cuesta"
"Indicativo
Presente

nosotros [costar]";"nosotros costamos"
"Indicativo
Presente

nosotras [costar]";"nosotras costamos"
"Indicativo
Presente

vosotros [costar]";"vosotros costáis"
"Indicativo
Presente

vosotras [costar]";"vosotras costáis"
"Indicativo
Presente

ellos [costar]";"ellos cuestan"
"Indicativo
Presente

ellas [costar]";"ellas cuestan"
"Indicativo
Presente

Ustedes [costar]";"Ustedes cuestan"
"Indicativo
Presente

yo [crear]";"yo creo"
"Indicativo
Presente

tú [crear]";"tú creas"
"Indicativo
Presente

él [crear]";"él crea"
"Indicativo
Presente

ella [crear]";"ella crea"
"Indicativo
Presente

Usted [crear]";"Usted crea"
"Indicativo
Presente

nosotros [crear]";"nosotros creamos"
"Indicativo
Presente

nosotras [crear]";"nosotras creamos"
"Indicativo
Presente

vosotros [crear]";"vosotros creáis"
"Indicativo
Presente

vosotras [crear]";"vosotras creáis"
"Indicativo
Presente

ellos [crear]";"ellos crean"
"Indicativo
Presente

ellas [crear]";"ellas crean"
"Indicativo
Presente

Ustedes [crear]";"Ustedes crean"
"Indicativo
Presente

yo [criar]";"yo crío"
"Indicativo
Presente

tú [criar]";"tú crías"
"Indicativo
Presente

él [criar]";"él cría"
"Indicativo
Presente

ella [criar]";"ella cría"
"Indicativo
Presente

Usted [criar]";"Usted cría"
"Indicativo
Presente

nosotros [criar]";"nosotros criamos"
"Indicativo
Presente

nosotras [criar]";"nosotras criamos"
"Indicativo
Presente

vosotros [criar]";"vosotros criáis"
"Indicativo
Presente

vosotras [criar]";"vosotras criáis"
"Indicativo
Presente

ellos [criar]";"ellos crían"
"Indicativo
Presente

ellas [criar]";"ellas crían"
"Indicativo
Presente

Ustedes [criar]";"Ustedes crían"
"Indicativo
Presente

yo [criticar]";"yo critico"
"Indicativo
Presente

tú [criticar]";"tú criticas"
"Indicativo
Presente

él [criticar]";"él critica"
"Indicativo
Presente

ella [criticar]";"ella critica"
"Indicativo
Presente

Usted [criticar]";"Usted critica"
"Indicativo
Presente

nosotros [criticar]";"nosotros criticamos"
"Indicativo
Presente

nosotras [criticar]";"nosotras criticamos"
"Indicativo
Presente

vosotros [criticar]";"vosotros criticáis"
"Indicativo
Presente

vosotras [criticar]";"vosotras criticáis"
"Indicativo
Presente

ellos [criticar]";"ellos critican"
"Indicativo
Presente

ellas [criticar]";"ellas critican"
"Indicativo
Presente

Ustedes [criticar]";"Ustedes critican"
"Indicativo
Presente

yo [crucificar]";"yo crucifico"
"Indicativo
Presente

tú [crucificar]";"tú crucificas"
"Indicativo
Presente

él [crucificar]";"él crucifica"
"Indicativo
Presente

ella [crucificar]";"ella crucifica"
"Indicativo
Presente

Usted [crucificar]";"Usted crucifica"
"Indicativo
Presente

nosotros [crucificar]";"nosotros crucificamos"
"Indicativo
Presente

nosotras [crucificar]";"nosotras crucificamos"
"Indicativo
Presente

vosotros [crucificar]";"vosotros crucificáis"
"Indicativo
Presente

vosotras [crucificar]";"vosotras crucificáis"
"Indicativo
Presente

ellos [crucificar]";"ellos crucifican"
"Indicativo
Presente

ellas [crucificar]";"ellas crucifican"
"Indicativo
Presente

Ustedes [crucificar]";"Ustedes crucifican"
"Indicativo
Presente

yo [cruzar]";"yo cruzo"
"Indicativo
Presente

tú [cruzar]";"tú cruzas"
"Indicativo
Presente

él [cruzar]";"él cruza"
"Indicativo
Presente

ella [cruzar]";"ella cruza"
"Indicativo
Presente

Usted [cruzar]";"Usted cruza"
"Indicativo
Presente

nosotros [cruzar]";"nosotros cruzamos"
"Indicativo
Presente

nosotras [cruzar]";"nosotras cruzamos"
"Indicativo
Presente

vosotros [cruzar]";"vosotros cruzáis"
"Indicativo
Presente

vosotras [cruzar]";"vosotras cruzáis"
"Indicativo
Presente

ellos [cruzar]";"ellos cruzan"
"Indicativo
Presente

ellas [cruzar]";"ellas cruzan"
"Indicativo
Presente

Ustedes [cruzar]";"Ustedes cruzan"
"Indicativo
Presente

yo [cuidar]";"yo cuido"
"Indicativo
Presente

tú [cuidar]";"tú cuidas"
"Indicativo
Presente

él [cuidar]";"él cuida"
"Indicativo
Presente

ella [cuidar]";"ella cuida"
"Indicativo
Presente

Usted [cuidar]";"Usted cuida"
"Indicativo
Presente

nosotros [cuidar]";"nosotros cuidamos"
"Indicativo
Presente

nosotras [cuidar]";"nosotras cuidamos"
"Indicativo
Presente

vosotros [cuidar]";"vosotros cuidáis"
"Indicativo
Presente

vosotras [cuidar]";"vosotras cuidáis"
"Indicativo
Presente

ellos [cuidar]";"ellos cuidan"
"Indicativo
Presente

ellas [cuidar]";"ellas cuidan"
"Indicativo
Presente

Ustedes [cuidar]";"Ustedes cuidan"
"Indicativo
Presente

yo [culpar]";"yo culpo"
"Indicativo
Presente

tú [culpar]";"tú culpas"
"Indicativo
Presente

él [culpar]";"él culpa"
"Indicativo
Presente

ella [culpar]";"ella culpa"
"Indicativo
Presente

Usted [culpar]";"Usted culpa"
"Indicativo
Presente

nosotros [culpar]";"nosotros culpamos"
"Indicativo
Presente

nosotras [culpar]";"nosotras culpamos"
"Indicativo
Presente

vosotros [culpar]";"vosotros culpáis"
"Indicativo
Presente

vosotras [culpar]";"vosotras culpáis"
"Indicativo
Presente

ellos [culpar]";"ellos culpan"
"Indicativo
Presente

ellas [culpar]";"ellas culpan"
"Indicativo
Presente

Ustedes [culpar]";"Ustedes culpan"
"Indicativo
Presente

yo [cultivar]";"yo cultivo"
"Indicativo
Presente

tú [cultivar]";"tú cultivas"
"Indicativo
Presente

él [cultivar]";"él cultiva"
"Indicativo
Presente

ella [cultivar]";"ella cultiva"
"Indicativo
Presente

Usted [cultivar]";"Usted cultiva"
"Indicativo
Presente

nosotros [cultivar]";"nosotros cultivamos"
"Indicativo
Presente

nosotras [cultivar]";"nosotras cultivamos"
"Indicativo
Presente

vosotros [cultivar]";"vosotros cultiváis"
"Indicativo
Presente

vosotras [cultivar]";"vosotras cultiváis"
"Indicativo
Presente

ellos [cultivar]";"ellos cultivan"
"Indicativo
Presente

ellas [cultivar]";"ellas cultivan"
"Indicativo
Presente

Ustedes [cultivar]";"Ustedes cultivan"
"Indicativo
Presente

yo [curar]";"yo curo"
"Indicativo
Presente

tú [curar]";"tú curas"
"Indicativo
Presente

él [curar]";"él cura"
"Indicativo
Presente

ella [curar]";"ella cura"
"Indicativo
Presente

Usted [curar]";"Usted cura"
"Indicativo
Presente

nosotros [curar]";"nosotros curamos"
"Indicativo
Presente

nosotras [curar]";"nosotras curamos"
"Indicativo
Presente

vosotros [curar]";"vosotros curáis"
"Indicativo
Presente

vosotras [curar]";"vosotras curáis"
"Indicativo
Presente

ellos [curar]";"ellos curan"
"Indicativo
Presente

ellas [curar]";"ellas curan"
"Indicativo
Presente

Ustedes [curar]";"Ustedes curan"
"Indicativo
Presente

yo [dar]";"yo doy"
"Indicativo
Presente

tú [dar]";"tú das"
"Indicativo
Presente

él [dar]";"él da"
"Indicativo
Presente

ella [dar]";"ella da"
"Indicativo
Presente

Usted [dar]";"Usted da"
"Indicativo
Presente

nosotros [dar]";"nosotros damos"
"Indicativo
Presente

nosotras [dar]";"nosotras damos"
"Indicativo
Presente

vosotros [dar]";"vosotros dais"
"Indicativo
Presente

vosotras [dar]";"vosotras dais"
"Indicativo
Presente

ellos [dar]";"ellos dan"
"Indicativo
Presente

ellas [dar]";"ellas dan"
"Indicativo
Presente

Ustedes [dar]";"Ustedes dan"
"Indicativo
Presente

yo [declarar]";"yo declaro"
"Indicativo
Presente

tú [declarar]";"tú declaras"
"Indicativo
Presente

él [declarar]";"él declara"
"Indicativo
Presente

ella [declarar]";"ella declara"
"Indicativo
Presente

Usted [declarar]";"Usted declara"
"Indicativo
Presente

nosotros [declarar]";"nosotros declaramos"
"Indicativo
Presente

nosotras [declarar]";"nosotras declaramos"
"Indicativo
Presente

vosotros [declarar]";"vosotros declaráis"
"Indicativo
Presente

vosotras [declarar]";"vosotras declaráis"
"Indicativo
Presente

ellos [declarar]";"ellos declaran"
"Indicativo
Presente

ellas [declarar]";"ellas declaran"
"Indicativo
Presente

Ustedes [declarar]";"Ustedes declaran"
"Indicativo
Presente

yo [decorar]";"yo decoro"
"Indicativo
Presente

tú [decorar]";"tú decoras"
"Indicativo
Presente

él [decorar]";"él decora"
"Indicativo
Presente

ella [decorar]";"ella decora"
"Indicativo
Presente

Usted [decorar]";"Usted decora"
"Indicativo
Presente

nosotros [decorar]";"nosotros decoramos"
"Indicativo
Presente

nosotras [decorar]";"nosotras decoramos"
"Indicativo
Presente

vosotros [decorar]";"vosotros decoráis"
"Indicativo
Presente

vosotras [decorar]";"vosotras decoráis"
"Indicativo
Presente

ellos [decorar]";"ellos decoran"
"Indicativo
Presente

ellas [decorar]";"ellas decoran"
"Indicativo
Presente

Ustedes [decorar]";"Ustedes decoran"
"Indicativo
Presente

yo [dedicar]";"yo dedico"
"Indicativo
Presente

tú [dedicar]";"tú dedicas"
"Indicativo
Presente

él [dedicar]";"él dedica"
"Indicativo
Presente

ella [dedicar]";"ella dedica"
"Indicativo
Presente

Usted [dedicar]";"Usted dedica"
"Indicativo
Presente

nosotros [dedicar]";"nosotros dedicamos"
"Indicativo
Presente

nosotras [dedicar]";"nosotras dedicamos"
"Indicativo
Presente

vosotros [dedicar]";"vosotros dedicáis"
"Indicativo
Presente

vosotras [dedicar]";"vosotras dedicáis"
"Indicativo
Presente

ellos [dedicar]";"ellos dedican"
"Indicativo
Presente

ellas [dedicar]";"ellas dedican"
"Indicativo
Presente

Ustedes [dedicar]";"Ustedes dedican"
"Indicativo
Presente

yo [dejar]";"yo dejo"
"Indicativo
Presente

tú [dejar]";"tú dejas"
"Indicativo
Presente

él [dejar]";"él deja"
"Indicativo
Presente

ella [dejar]";"ella deja"
"Indicativo
Presente

Usted [dejar]";"Usted deja"
"Indicativo
Presente

nosotros [dejar]";"nosotros dejamos"
"Indicativo
Presente

nosotras [dejar]";"nosotras dejamos"
"Indicativo
Presente

vosotros [dejar]";"vosotros dejáis"
"Indicativo
Presente

vosotras [dejar]";"vosotras dejáis"
"Indicativo
Presente

ellos [dejar]";"ellos dejan"
"Indicativo
Presente

ellas [dejar]";"ellas dejan"
"Indicativo
Presente

Ustedes [dejar]";"Ustedes dejan"
"Indicativo
Presente

yo [demostrar]";"yo demuestro"
"Indicativo
Presente

tú [demostrar]";"tú demuestras"
"Indicativo
Presente

él [demostrar]";"él demuestra"
"Indicativo
Presente

ella [demostrar]";"ella demuestra"
"Indicativo
Presente

Usted [demostrar]";"Usted demuestra"
"Indicativo
Presente

nosotros [demostrar]";"nosotros demostramos"
"Indicativo
Presente

nosotras [demostrar]";"nosotras demostramos"
"Indicativo
Presente

vosotros [demostrar]";"vosotros demostráis"
"Indicativo
Presente

vosotras [demostrar]";"vosotras demostráis"
"Indicativo
Presente

ellos [demostrar]";"ellos demuestran"
"Indicativo
Presente

ellas [demostrar]";"ellas demuestran"
"Indicativo
Presente

Ustedes [demostrar]";"Ustedes demuestran"
"Indicativo
Presente

yo [depositar]";"yo deposito"
"Indicativo
Presente

tú [depositar]";"tú depositas"
"Indicativo
Presente

él [depositar]";"él deposita"
"Indicativo
Presente

ella [depositar]";"ella deposita"
"Indicativo
Presente

Usted [depositar]";"Usted deposita"
"Indicativo
Presente

nosotros [depositar]";"nosotros depositamos"
"Indicativo
Presente

nosotras [depositar]";"nosotras depositamos"
"Indicativo
Presente

vosotros [depositar]";"vosotros depositáis"
"Indicativo
Presente

vosotras [depositar]";"vosotras depositáis"
"Indicativo
Presente

ellos [depositar]";"ellos depositan"
"Indicativo
Presente

ellas [depositar]";"ellas depositan"
"Indicativo
Presente

Ustedes [depositar]";"Ustedes depositan"
"Indicativo
Presente

yo [desagradar]";"yo desagrado"
"Indicativo
Presente

tú [desagradar]";"tú desagradas"
"Indicativo
Presente

él [desagradar]";"él desagrada"
"Indicativo
Presente

ella [desagradar]";"ella desagrada"
"Indicativo
Presente

Usted [desagradar]";"Usted desagrada"
"Indicativo
Presente

nosotros [desagradar]";"nosotros desagradamos"
"Indicativo
Presente

nosotras [desagradar]";"nosotras desagradamos"
"Indicativo
Presente

vosotros [desagradar]";"vosotros desagradáis"
"Indicativo
Presente

vosotras [desagradar]";"vosotras desagradáis"
"Indicativo
Presente

ellos [desagradar]";"ellos desagradan"
"Indicativo
Presente

ellas [desagradar]";"ellas desagradan"
"Indicativo
Presente

Ustedes [desagradar]";"Ustedes desagradan"
"Indicativo
Presente

yo [desayunar]";"yo desayuno"
"Indicativo
Presente

tú [desayunar]";"tú desayunas"
"Indicativo
Presente

él [desayunar]";"él desayuna"
"Indicativo
Presente

ella [desayunar]";"ella desayuna"
"Indicativo
Presente

Usted [desayunar]";"Usted desayuna"
"Indicativo
Presente

nosotros [desayunar]";"nosotros desayunamos"
"Indicativo
Presente

nosotras [desayunar]";"nosotras desayunamos"
"Indicativo
Presente

vosotros [desayunar]";"vosotros desayunáis"
"Indicativo
Presente

vosotras [desayunar]";"vosotras desayunáis"
"Indicativo
Presente

ellos [desayunar]";"ellos desayunan"
"Indicativo
Presente

ellas [desayunar]";"ellas desayunan"
"Indicativo
Presente

Ustedes [desayunar]";"Ustedes desayunan"
"Indicativo
Presente

yo [descansar]";"yo descanso"
"Indicativo
Presente

tú [descansar]";"tú descansas"
"Indicativo
Presente

él [descansar]";"él descansa"
"Indicativo
Presente

ella [descansar]";"ella descansa"
"Indicativo
Presente

Usted [descansar]";"Usted descansa"
"Indicativo
Presente

nosotros [descansar]";"nosotros descansamos"
"Indicativo
Presente

nosotras [descansar]";"nosotras descansamos"
"Indicativo
Presente

vosotros [descansar]";"vosotros descansáis"
"Indicativo
Presente

vosotras [descansar]";"vosotras descansáis"
"Indicativo
Presente

ellos [descansar]";"ellos descansan"
"Indicativo
Presente

ellas [descansar]";"ellas descansan"
"Indicativo
Presente

Ustedes [descansar]";"Ustedes descansan"
"Indicativo
Presente

yo [desarrollar]";"yo desarrollo"
"Indicativo
Presente

tú [desarrollar]";"tú desarrollas"
"Indicativo
Presente

él [desarrollar]";"él desarrolla"
"Indicativo
Presente

ella [desarrollar]";"ella desarrolla"
"Indicativo
Presente

Usted [desarrollar]";"Usted desarrolla"
"Indicativo
Presente

nosotros [desarrollar]";"nosotros desarrollamos"
"Indicativo
Presente

nosotras [desarrollar]";"nosotras desarrollamos"
"Indicativo
Presente

vosotros [desarrollar]";"vosotros desarrolláis"
"Indicativo
Presente

vosotras [desarrollar]";"vosotras desarrolláis"
"Indicativo
Presente

ellos [desarrollar]";"ellos desarrollan"
"Indicativo
Presente

ellas [desarrollar]";"ellas desarrollan"
"Indicativo
Presente

Ustedes [desarrollar]";"Ustedes desarrollan"
"Indicativo
Presente

yo [desear]";"yo deseo"
"Indicativo
Presente

tú [desear]";"tú deseas"
"Indicativo
Presente

él [desear]";"él desea"
"Indicativo
Presente

ella [desear]";"ella desea"
"Indicativo
Presente

Usted [desear]";"Usted desea"
"Indicativo
Presente

nosotros [desear]";"nosotros deseamos"
"Indicativo
Presente

nosotras [desear]";"nosotras deseamos"
"Indicativo
Presente

vosotros [desear]";"vosotros deseáis"
"Indicativo
Presente

vosotras [desear]";"vosotras deseáis"
"Indicativo
Presente

ellos [desear]";"ellos desean"
"Indicativo
Presente

ellas [desear]";"ellas desean"
"Indicativo
Presente

Ustedes [desear]";"Ustedes desean"
"Indicativo
Presente

yo [despertar]";"yo despierto"
"Indicativo
Presente

tú [despertar]";"tú despiertas"
"Indicativo
Presente

él [despertar]";"él despierta"
"Indicativo
Presente

ella [despertar]";"ella despierta"
"Indicativo
Presente

Usted [despertar]";"Usted despierta"
"Indicativo
Presente

nosotros [despertar]";"nosotros despertamos"
"Indicativo
Presente

nosotras [despertar]";"nosotras despertamos"
"Indicativo
Presente

vosotros [despertar]";"vosotros despertáis"
"Indicativo
Presente

vosotras [despertar]";"vosotras despertáis"
"Indicativo
Presente

ellos [despertar]";"ellos despiertan"
"Indicativo
Presente

ellas [despertar]";"ellas despiertan"
"Indicativo
Presente

Ustedes [despertar]";"Ustedes despiertan"
"Indicativo
Presente

yo [detestar]";"yo detesto"
"Indicativo
Presente

tú [detestar]";"tú detestas"
"Indicativo
Presente

él [detestar]";"él detesta"
"Indicativo
Presente

ella [detestar]";"ella detesta"
"Indicativo
Presente

Usted [detestar]";"Usted detesta"
"Indicativo
Presente

nosotros [detestar]";"nosotros detestamos"
"Indicativo
Presente

nosotras [detestar]";"nosotras detestamos"
"Indicativo
Presente

vosotros [detestar]";"vosotros detestáis"
"Indicativo
Presente

vosotras [detestar]";"vosotras detestáis"
"Indicativo
Presente

ellos [detestar]";"ellos detestan"
"Indicativo
Presente

ellas [detestar]";"ellas detestan"
"Indicativo
Presente

Ustedes [detestar]";"Ustedes detestan"
"Indicativo
Presente

yo [devorar]";"yo devoro"
"Indicativo
Presente

tú [devorar]";"tú devoras"
"Indicativo
Presente

él [devorar]";"él devora"
"Indicativo
Presente

ella [devorar]";"ella devora"
"Indicativo
Presente

Usted [devorar]";"Usted devora"
"Indicativo
Presente

nosotros [devorar]";"nosotros devoramos"
"Indicativo
Presente

nosotras [devorar]";"nosotras devoramos"
"Indicativo
Presente

vosotros [devorar]";"vosotros devoráis"
"Indicativo
Presente

vosotras [devorar]";"vosotras devoráis"
"Indicativo
Presente

ellos [devorar]";"ellos devoran"
"Indicativo
Presente

ellas [devorar]";"ellas devoran"
"Indicativo
Presente

Ustedes [devorar]";"Ustedes devoran"
"Indicativo
Presente

yo [dibujar]";"yo dibujo"
"Indicativo
Presente

tú [dibujar]";"tú dibujas"
"Indicativo
Presente

él [dibujar]";"él dibuja"
"Indicativo
Presente

ella [dibujar]";"ella dibuja"
"Indicativo
Presente

Usted [dibujar]";"Usted dibuja"
"Indicativo
Presente

nosotros [dibujar]";"nosotros dibujamos"
