#separator:Semicolon
#html:false
"Indicativo
Pretérito

yo [abandonar]";"yo abandoné"
"Indicativo
Pretérito

ellas [conservar]";"ellas conservaron"
"Indicativo
Pretérito

Ustedes [conservar]";"Ustedes conservaron"
"Indicativo
Pretérito

yo [contaminar]";"yo contaminé"
"Indicativo
Pretérito

tú [contaminar]";"tú contaminaste"
"Indicativo
Pretérito

él [contaminar]";"él contaminó"
"Indicativo
Pretérito

ella [contaminar]";"ella contaminó"
"Indicativo
Pretérito

Usted [contaminar]";"Usted contaminó"
"Indicativo
Pretérito

nosotros [contaminar]";"nosotros contaminamos"
"Indicativo
Pretérito

nosotras [contaminar]";"nosotras contaminamos"
"Indicativo
Pretérito

vosotros [contaminar]";"vosotros contaminasteis"
"Indicativo
Pretérito

vosotras [contaminar]";"vosotras contaminasteis"
"Indicativo
Pretérito

ellos [contaminar]";"ellos contaminaron"
"Indicativo
Pretérito

ellas [contaminar]";"ellas contaminaron"
"Indicativo
Pretérito

Ustedes [contaminar]";"Ustedes contaminaron"
"Indicativo
Pretérito

yo [contar]";"yo conté"
"Indicativo
Pretérito

tú [contar]";"tú contaste"
"Indicativo
Pretérito

él [contar]";"él contó"
"Indicativo
Pretérito

ella [contar]";"ella contó"
"Indicativo
Pretérito

Usted [contar]";"Usted contó"
"Indicativo
Pretérito

nosotros [contar]";"nosotros contamos"
"Indicativo
Pretérito

nosotras [contar]";"nosotras contamos"
"Indicativo
Pretérito

vosotros [contar]";"vosotros contasteis"
"Indicativo
Pretérito

vosotras [contar]";"vosotras contasteis"
"Indicativo
Pretérito

ellos [contar]";"ellos contaron"
"Indicativo
Pretérito

ellas [contar]";"ellas contaron"
"Indicativo
Pretérito

Ustedes [contar]";"Ustedes contaron"
"Indicativo
Pretérito

yo [contestar]";"yo contesté"
"Indicativo
Pretérito

tú [contestar]";"tú contestaste"
"Indicativo
Pretérito

él [contestar]";"él contestó"
"Indicativo
Pretérito

ella [contestar]";"ella contestó"
"Indicativo
Pretérito

Usted [contestar]";"Usted contestó"
"Indicativo
Pretérito

nosotros [contestar]";"nosotros contestamos"
"Indicativo
Pretérito

nosotras [contestar]";"nosotras contestamos"
"Indicativo
Pretérito

vosotros [contestar]";"vosotros contestasteis"
"Indicativo
Pretérito

vosotras [contestar]";"vosotras contestasteis"
"Indicativo
Pretérito

ellos [contestar]";"ellos contestaron"
"Indicativo
Pretérito

ellas [contestar]";"ellas contestaron"
"Indicativo
Pretérito

Ustedes [contestar]";"Ustedes contestaron"
"Indicativo
Pretérito

yo [continuar]";"yo continué"
"Indicativo
Pretérito

tú [continuar]";"tú continuaste"
"Indicativo
Pretérito

él [continuar]";"él continuó"
"Indicativo
Pretérito

ella [continuar]";"ella continuó"
"Indicativo
Pretérito

Usted [continuar]";"Usted continuó"
"Indicativo
Pretérito

nosotros [continuar]";"nosotros continuamos"
"Indicativo
Pretérito

nosotras [continuar]";"nosotras continuamos"
"Indicativo
Pretérito

vosotros [continuar]";"vosotros continuasteis"
"Indicativo
Pretérito

vosotras [continuar]";"vosotras continuasteis"
"Indicativo
Pretérito

ellos [continuar]";"ellos continuaron"
"Indicativo
Pretérito

ellas [continuar]";"ellas continuaron"
"Indicativo
Pretérito

Ustedes [continuar]";"Ustedes continuaron"
"Indicativo
Pretérito

yo [controlar]";"yo controlé"
"Indicativo
Pretérito

tú [controlar]";"tú controlaste"
"Indicativo
Pretérito

él [controlar]";"él controló"
"Indicativo
Pretérito

ella [controlar]";"ella controló"
"Indicativo
Pretérito

Usted [controlar]";"Usted controló"
"Indicativo
Pretérito

nosotros [controlar]";"nosotros controlamos"
"Indicativo
Pretérito

nosotras [controlar]";"nosotras controlamos"
"Indicativo
Pretérito

vosotros [controlar]";"vosotros controlasteis"
"Indicativo
Pretérito

vosotras [controlar]";"vosotras controlasteis"
"Indicativo
Pretérito

ellos [controlar]";"ellos controlaron"
"Indicativo
Pretérito

ellas [controlar]";"ellas controlaron"
"Indicativo
Pretérito

Ustedes [controlar]";"Ustedes controlaron"
"Indicativo
Pretérito

yo [conversar]";"yo conversé"
"Indicativo
Pretérito

tú [conversar]";"tú conversaste"
"Indicativo
Pretérito

él [conversar]";"él conversó"
"Indicativo
Pretérito

ella [conversar]";"ella conversó"
"Indicativo
Pretérito

Usted [conversar]";"Usted conversó"
"Indicativo
Pretérito

nosotros [conversar]";"nosotros conversamos"
"Indicativo
Pretérito

nosotras [conversar]";"nosotras conversamos"
"Indicativo
Pretérito

vosotros [conversar]";"vosotros conversasteis"
"Indicativo
Pretérito

vosotras [conversar]";"vosotras conversasteis"
"Indicativo
Pretérito

ellos [conversar]";"ellos conversaron"
"Indicativo
Pretérito

ellas [conversar]";"ellas conversaron"
"Indicativo
Pretérito

Ustedes [conversar]";"Ustedes conversaron"
"Indicativo
Pretérito

yo [convidar]";"yo convidé"
"Indicativo
Pretérito

tú [convidar]";"tú convidaste"
"Indicativo
Pretérito

él [convidar]";"él convidó"
"Indicativo
Pretérito

ella [convidar]";"ella convidó"
"Indicativo
Pretérito

Usted [convidar]";"Usted convidó"
"Indicativo
Pretérito

nosotros [convidar]";"nosotros convidamos"
"Indicativo
Pretérito

nosotras [convidar]";"nosotras convidamos"
"Indicativo
Pretérito

vosotros [convidar]";"vosotros convidasteis"
"Indicativo
Pretérito

vosotras [convidar]";"vosotras convidasteis"
"Indicativo
Pretérito

ellos [convidar]";"ellos convidaron"
"Indicativo
Pretérito

ellas [convidar]";"ellas convidaron"
"Indicativo
Pretérito

Ustedes [convidar]";"Ustedes convidaron"
"Indicativo
Pretérito

yo [copiar]";"yo copié"
"Indicativo
Pretérito

tú [copiar]";"tú copiaste"
"Indicativo
Pretérito

él [copiar]";"él copió"
"Indicativo
Pretérito

ella [copiar]";"ella copió"
"Indicativo
Pretérito

Usted [copiar]";"Usted copió"
"Indicativo
Pretérito

nosotros [copiar]";"nosotros copiamos"
"Indicativo
Pretérito

nosotras [copiar]";"nosotras copiamos"
"Indicativo
Pretérito

vosotros [copiar]";"vosotros copiasteis"
"Indicativo
Pretérito

vosotras [copiar]";"vosotras copiasteis"
"Indicativo
Pretérito

ellos [copiar]";"ellos copiaron"
"Indicativo
Pretérito

ellas [copiar]";"ellas copiaron"
"Indicativo
Pretérito

Ustedes [copiar]";"Ustedes copiaron"
"Indicativo
Pretérito

yo [cortar]";"yo corté"
"Indicativo
Pretérito

tú [cortar]";"tú cortaste"
"Indicativo
Pretérito

él [cortar]";"él cortó"
"Indicativo
Pretérito

ella [cortar]";"ella cortó"
"Indicativo
Pretérito

Usted [cortar]";"Usted cortó"
"Indicativo
Pretérito

nosotros [cortar]";"nosotros cortamos"
"Indicativo
Pretérito

nosotras [cortar]";"nosotras cortamos"
"Indicativo
Pretérito

vosotros [cortar]";"vosotros cortasteis"
"Indicativo
Pretérito

vosotras [cortar]";"vosotras cortasteis"
"Indicativo
Pretérito

ellos [cortar]";"ellos cortaron"
"Indicativo
Pretérito

ellas [cortar]";"ellas cortaron"
"Indicativo
Pretérito

Ustedes [cortar]";"Ustedes cortaron"
"Indicativo
Pretérito

yo [costar]";"yo costé"
"Indicativo
Pretérito

tú [costar]";"tú costaste"
"Indicativo
Pretérito

él [costar]";"él costó"
"Indicativo
Pretérito

ella [costar]";"ella costó"
"Indicativo
Pretérito

Usted [costar]";"Usted costó"
"Indicativo
Pretérito

nosotros [costar]";"nosotros costamos"
"Indicativo
Pretérito

nosotras [costar]";"nosotras costamos"
"Indicativo
Pretérito

vosotros [costar]";"vosotros costasteis"
"Indicativo
Pretérito

vosotras [costar]";"vosotras costasteis"
"Indicativo
Pretérito

ellos [costar]";"ellos costaron"
"Indicativo
Pretérito

ellas [costar]";"ellas costaron"
"Indicativo
Pretérito

Ustedes [costar]";"Ustedes costaron"
"Indicativo
Pretérito

yo [crear]";"yo creé"
"Indicativo
Pretérito

tú [crear]";"tú creaste"
"Indicativo
Pretérito

él [crear]";"él creó"
"Indicativo
Pretérito

ella [crear]";"ella creó"
"Indicativo
Pretérito

Usted [crear]";"Usted creó"
"Indicativo
Pretérito

nosotros [crear]";"nosotros creamos"
"Indicativo
Pretérito

nosotras [crear]";"nosotras creamos"
"Indicativo
Pretérito

vosotros [crear]";"vosotros creasteis"
"Indicativo
Pretérito

vosotras [crear]";"vosotras creasteis"
"Indicativo
Pretérito

ellos [crear]";"ellos crearon"
"Indicativo
Pretérito

ellas [crear]";"ellas crearon"
"Indicativo
Pretérito

Ustedes [crear]";"Ustedes crearon"
"Indicativo
Pretérito

yo [criar]";"yo crié"
"Indicativo
Pretérito

tú [criar]";"tú criaste"
"Indicativo
Pretérito

él [criar]";"él crio"
"Indicativo
Pretérito

ella [criar]";"ella crio"
"Indicativo
Pretérito

Usted [criar]";"Usted crio"
"Indicativo
Pretérito

nosotros [criar]";"nosotros criamos"
"Indicativo
Pretérito

nosotras [criar]";"nosotras criamos"
"Indicativo
Pretérito

vosotros [criar]";"vosotros criasteis"
"Indicativo
Pretérito

vosotras [criar]";"vosotras criasteis"
"Indicativo
Pretérito

ellos [criar]";"ellos criaron"
"Indicativo
Pretérito

ellas [criar]";"ellas criaron"
"Indicativo
Pretérito

Ustedes [criar]";"Ustedes criaron"
"Indicativo
Pretérito

yo [criticar]";"yo critiqué"
"Indicativo
Pretérito

tú [criticar]";"tú criticaste"
"Indicativo
Pretérito

él [criticar]";"él criticó"
"Indicativo
Pretérito

ella [criticar]";"ella criticó"
"Indicativo
Pretérito

Usted [criticar]";"Usted criticó"
"Indicativo
Pretérito

nosotros [criticar]";"nosotros criticamos"
"Indicativo
Pretérito

nosotras [criticar]";"nosotras criticamos"
"Indicativo
Pretérito

vosotros [criticar]";"vosotros criticasteis"
"Indicativo
Pretérito

vosotras [criticar]";"vosotras criticasteis"
"Indicativo
Pretérito

ellos [criticar]";"ellos criticaron"
"Indicativo
Pretérito

ellas [criticar]";"ellas criticaron"
"Indicativo
Pretérito

Ustedes [criticar]";"Ustedes criticaron"
"Indicativo
Pretérito

yo [crucificar]";"yo crucifiqué"
"Indicativo
Pretérito

tú [crucificar]";"tú crucificaste"
"Indicativo
Pretérito

él [crucificar]";"él crucificó"
"Indicativo
Pretérito

ella [crucificar]";"ella crucificó"
"Indicativo
Pretérito

Usted [crucificar]";"Usted crucificó"
"Indicativo
Pretérito

nosotros [crucificar]";"nosotros crucificamos"
"Indicativo
Pretérito

nosotras [crucificar]";"nosotras crucificamos"
"Indicativo
Pretérito

vosotros [crucificar]";"vosotros crucificasteis"
"Indicativo
Pretérito

vosotras [crucificar]";"vosotras crucificasteis"
"Indicativo
Pretérito

ellos [crucificar]";"ellos crucificaron"
"Indicativo
Pretérito

ellas [crucificar]";"ellas crucificaron"
"Indicativo
Pretérito

Ustedes [crucificar]";"Ustedes crucificaron"
"Indicativo
Pretérito

yo [cuidar]";"yo cuidé"
"Indicativo
Pretérito

tú [cuidar]";"tú cuidaste"
"Indicativo
Pretérito

él [cuidar]";"él cuidó"
"Indicativo
Pretérito

ella [cuidar]";"ella cuidó"
"Indicativo
Pretérito

Usted [cuidar]";"Usted cuidó"
"Indicativo
Pretérito

nosotros [cuidar]";"nosotros cuidamos"
"Indicativo
Pretérito

nosotras [cuidar]";"nosotras cuidamos"
"Indicativo
Pretérito

vosotros [cuidar]";"vosotros cuidasteis"
"Indicativo
Pretérito

vosotras [cuidar]";"vosotras cuidasteis"
"Indicativo
Pretérito

ellos [cuidar]";"ellos cuidaron"
"Indicativo
Pretérito

ellas [cuidar]";"ellas cuidaron"
"Indicativo
Pretérito

Ustedes [cuidar]";"Ustedes cuidaron"
"Indicativo
Pretérito

yo [cruzar]";"yo crucé"
"Indicativo
Pretérito

tú [cruzar]";"tú cruzaste"
"Indicativo
Pretérito

él [cruzar]";"él cruzó"
"Indicativo
Pretérito

ella [cruzar]";"ella cruzó"
"Indicativo
Pretérito

Usted [cruzar]";"Usted cruzó"
"Indicativo
Pretérito

nosotros [cruzar]";"nosotros cruzamos"
"Indicativo
Pretérito

nosotras [cruzar]";"nosotras cruzamos"
"Indicativo
Pretérito

vosotros [cruzar]";"vosotros cruzasteis"
"Indicativo
Pretérito

vosotras [cruzar]";"vosotras cruzasteis"
"Indicativo
Pretérito

ellos [cruzar]";"ellos cruzaron"
"Indicativo
Pretérito

ellas [cruzar]";"ellas cruzaron"
"Indicativo
Pretérito

Ustedes [cruzar]";"Ustedes cruzaron"
"Indicativo
Pretérito

yo [culpar]";"yo culpé"
"Indicativo
Pretérito

tú [culpar]";"tú culpaste"
"Indicativo
Pretérito

él [culpar]";"él culpó"
"Indicativo
Pretérito

ella [culpar]";"ella culpó"
"Indicativo
Pretérito

Usted [culpar]";"Usted culpó"
"Indicativo
Pretérito

nosotros [culpar]";"nosotros culpamos"
"Indicativo
Pretérito

nosotras [culpar]";"nosotras culpamos"
"Indicativo
Pretérito

vosotros [culpar]";"vosotros culpasteis"
"Indicativo
Pretérito

vosotras [culpar]";"vosotras culpasteis"
"Indicativo
Pretérito

ellos [culpar]";"ellos culparon"
"Indicativo
Pretérito

ellas [culpar]";"ellas culparon"
"Indicativo
Pretérito

Ustedes [culpar]";"Ustedes culparon"
"Indicativo
Pretérito

yo [cultivar]";"yo cultivé"
"Indicativo
Pretérito

tú [cultivar]";"tú cultivaste"
"Indicativo
Pretérito

él [cultivar]";"él cultivó"
"Indicativo
Pretérito

ella [cultivar]";"ella cultivó"
"Indicativo
Pretérito

Usted [cultivar]";"Usted cultivó"
"Indicativo
Pretérito

nosotros [cultivar]";"nosotros cultivamos"
"Indicativo
Pretérito

nosotras [cultivar]";"nosotras cultivamos"
"Indicativo
Pretérito

vosotros [cultivar]";"vosotros cultivasteis"
"Indicativo
Pretérito

vosotras [cultivar]";"vosotras cultivasteis"
"Indicativo
Pretérito

ellos [cultivar]";"ellos cultivaron"
"Indicativo
Pretérito

ellas [cultivar]";"ellas cultivaron"
"Indicativo
Pretérito

Ustedes [cultivar]";"Ustedes cultivaron"
"Indicativo
Pretérito

yo [curar]";"yo curé"
"Indicativo
Pretérito

tú [curar]";"tú curaste"
"Indicativo
Pretérito

él [curar]";"él curó"
"Indicativo
Pretérito

ella [curar]";"ella curó"
"Indicativo
Pretérito

Usted [curar]";"Usted curó"
"Indicativo
Pretérito

nosotros [curar]";"nosotros curamos"
"Indicativo
Pretérito

nosotras [curar]";"nosotras curamos"
"Indicativo
Pretérito

vosotros [curar]";"vosotros curasteis"
"Indicativo
Pretérito

vosotras [curar]";"vosotras curasteis"
"Indicativo
Pretérito

ellos [curar]";"ellos curaron"
"Indicativo
Pretérito

ellas [curar]";"ellas curaron"
"Indicativo
Pretérito

Ustedes [curar]";"Ustedes curaron"
"Indicativo
Pretérito

yo [dar]";"yo di"
"Indicativo
Pretérito

tú [dar]";"tú diste"
"Indicativo
Pretérito

él [dar]";"él dio"
"Indicativo
Pretérito

ella [dar]";"ella dio"
"Indicativo
Pretérito

Usted [dar]";"Usted dio"
"Indicativo
Pretérito

nosotros [dar]";"nosotros dimos"
"Indicativo
Pretérito

nosotras [dar]";"nosotras dimos"
"Indicativo
Pretérito

vosotros [dar]";"vosotros disteis"
"Indicativo
Pretérito

vosotras [dar]";"vosotras disteis"
"Indicativo
Pretérito

ellos [dar]";"ellos dieron"
"Indicativo
Pretérito

ellas [dar]";"ellas dieron"
"Indicativo
Pretérito

Ustedes [dar]";"Ustedes dieron"
"Indicativo
Pretérito

yo [declarar]";"yo declaré"
"Indicativo
Pretérito

tú [declarar]";"tú declaraste"
"Indicativo
Pretérito

él [declarar]";"él declaró"
"Indicativo
Pretérito

ella [declarar]";"ella declaró"
"Indicativo
Pretérito

Usted [declarar]";"Usted declaró"
"Indicativo
Pretérito

nosotros [declarar]";"nosotros declaramos"
"Indicativo
Pretérito

nosotras [declarar]";"nosotras declaramos"
"Indicativo
Pretérito

vosotros [declarar]";"vosotros declarasteis"
"Indicativo
Pretérito

vosotras [declarar]";"vosotras declarasteis"
"Indicativo
Pretérito

ellos [declarar]";"ellos declararon"
"Indicativo
Pretérito

ellas [declarar]";"ellas declararon"
"Indicativo
Pretérito

Ustedes [declarar]";"Ustedes declararon"
"Indicativo
Pretérito

yo [decorar]";"yo decoré"
"Indicativo
Pretérito

tú [decorar]";"tú decoraste"
"Indicativo
Pretérito

él [decorar]";"él decoró"
"Indicativo
Pretérito

ella [decorar]";"ella decoró"
"Indicativo
Pretérito

Usted [decorar]";"Usted decoró"
"Indicativo
Pretérito

nosotros [decorar]";"nosotros decoramos"
"Indicativo
Pretérito

nosotras [decorar]";"nosotras decoramos"
"Indicativo
Pretérito

vosotros [decorar]";"vosotros decorasteis"
"Indicativo
Pretérito

vosotras [decorar]";"vosotras decorasteis"
"Indicativo
Pretérito

ellos [decorar]";"ellos decoraron"
"Indicativo
Pretérito

ellas [decorar]";"ellas decoraron"
"Indicativo
Pretérito

Ustedes [decorar]";"Ustedes decoraron"
"Indicativo
Pretérito

yo [dedicar]";"yo dediqué"
"Indicativo
Pretérito

tú [dedicar]";"tú dedicaste"
"Indicativo
Pretérito

él [dedicar]";"él dedicó"
"Indicativo
Pretérito

ella [dedicar]";"ella dedicó"
"Indicativo
Pretérito

Usted [dedicar]";"Usted dedicó"
"Indicativo
Pretérito

nosotros [dedicar]";"nosotros dedicamos"
"Indicativo
Pretérito

nosotras [dedicar]";"nosotras dedicamos"
"Indicativo
Pretérito

vosotros [dedicar]";"vosotros dedicasteis"
"Indicativo
Pretérito

vosotras [dedicar]";"vosotras dedicasteis"
"Indicativo
Pretérito

ellos [dedicar]";"ellos dedicaron"
"Indicativo
Pretérito

ellas [dedicar]";"ellas dedicaron"
"Indicativo
Pretérito

Ustedes [dedicar]";"Ustedes dedicaron"
"Indicativo
Pretérito

yo [dejar]";"yo dejé"
"Indicativo
Pretérito

tú [dejar]";"tú dejaste"
"Indicativo
Pretérito

él [dejar]";"él dejó"
"Indicativo
Pretérito

ella [dejar]";"ella dejó"
"Indicativo
Pretérito

Usted [dejar]";"Usted dejó"
"Indicativo
Pretérito

nosotros [dejar]";"nosotros dejamos"
"Indicativo
Pretérito

nosotras [dejar]";"nosotras dejamos"
"Indicativo
Pretérito

vosotros [dejar]";"vosotros dejasteis"
"Indicativo
Pretérito

vosotras [dejar]";"vosotras dejasteis"
"Indicativo
Pretérito

ellos [dejar]";"ellos dejaron"
"Indicativo
Pretérito

ellas [dejar]";"ellas dejaron"
"Indicativo
Pretérito

Ustedes [dejar]";"Ustedes dejaron"
"Indicativo
Pretérito

yo [demostrar]";"yo demostré"
"Indicativo
Pretérito

tú [demostrar]";"tú demostraste"
"Indicativo
Pretérito

él [demostrar]";"él demostró"
"Indicativo
Pretérito

ella [demostrar]";"ella demostró"
"Indicativo
Pretérito

Usted [demostrar]";"Usted demostró"
"Indicativo
Pretérito

nosotros [demostrar]";"nosotros demostramos"
"Indicativo
Pretérito

nosotras [demostrar]";"nosotras demostramos"
"Indicativo
Pretérito

vosotros [demostrar]";"vosotros demostrasteis"
"Indicativo
Pretérito

vosotras [demostrar]";"vosotras demostrasteis"
"Indicativo
Pretérito

ellos [demostrar]";"ellos demostraron"
"Indicativo
Pretérito

ellas [demostrar]";"ellas demostraron"
"Indicativo
Pretérito

Ustedes [demostrar]";"Ustedes demostraron"
"Indicativo
Pretérito

yo [depositar]";"yo deposité"
"Indicativo
Pretérito

tú [depositar]";"tú depositaste"
"Indicativo
Pretérito

él [depositar]";"él depositó"
"Indicativo
Pretérito

ella [depositar]";"ella depositó"
"Indicativo
Pretérito

Usted [depositar]";"Usted depositó"
"Indicativo
Pretérito

nosotros [depositar]";"nosotros depositamos"
"Indicativo
Pretérito

nosotras [depositar]";"nosotras depositamos"
"Indicativo
Pretérito

vosotros [depositar]";"vosotros depositasteis"
"Indicativo
Pretérito

vosotras [depositar]";"vosotras depositasteis"
"Indicativo
Pretérito

ellos [depositar]";"ellos depositaron"
"Indicativo
Pretérito

ellas [depositar]";"ellas depositaron"
"Indicativo
Pretérito

Ustedes [depositar]";"Ustedes depositaron"
"Indicativo
Pretérito

yo [desagradar]";"yo desagradé"
"Indicativo
Pretérito

tú [desagradar]";"tú desagradaste"
"Indicativo
Pretérito

él [desagradar]";"él desagradó"
"Indicativo
Pretérito

ella [desagradar]";"ella desagradó"
"Indicativo
Pretérito

Usted [desagradar]";"Usted desagradó"
