#separator:Semicolon
#html:false
"Indicativo
Pretérito

yo [abrir]";"yo abrí"
"Indicativo
Pretérito

yo [traducir]";"yo traduje"
"Indicativo
Pretérito

tú [traducir]";"tú tradujiste"
"Indicativo
Pretérito

él [traducir]";"él tradujo"
"Indicativo
Pretérito

ella [traducir]";"ella tradujo"
"Indicativo
Pretérito

Usted [traducir]";"Usted tradujo"
"Indicativo
Pretérito

nosotros [traducir]";"nosotros tradujimos"
"Indicativo
Pretérito

nosotras [traducir]";"nosotras tradujimos"
"Indicativo
Pretérito

vosotros [traducir]";"vosotros tradujisteis"
"Indicativo
Pretérito

vosotras [traducir]";"vosotras tradujisteis"
"Indicativo
Pretérito

ellos [traducir]";"ellos tradujeron"
"Indicativo
Pretérito

ellas [traducir]";"ellas tradujeron"
"Indicativo
Pretérito

Ustedes [traducir]";"Ustedes tradujeron"
"Indicativo
Pretérito

yo [traer]";"yo traje"
"Indicativo
Pretérito

tú [traer]";"tú trajiste"
"Indicativo
Pretérito

él [traer]";"él trajo"
"Indicativo
Pretérito

ella [traer]";"ella trajo"
"Indicativo
Pretérito

Usted [traer]";"Usted trajo"
"Indicativo
Pretérito

nosotros [traer]";"nosotros trajimos"
"Indicativo
Pretérito

nosotras [traer]";"nosotras trajimos"
"Indicativo
Pretérito

vosotros [traer]";"vosotros trajisteis"
"Indicativo
Pretérito

vosotras [traer]";"vosotras trajisteis"
"Indicativo
Pretérito

ellos [traer]";"ellos trajeron"
"Indicativo
Pretérito

ellas [traer]";"ellas trajeron"
"Indicativo
Pretérito

Ustedes [traer]";"Ustedes trajeron"
"Indicativo
Pretérito

yo [unir]";"yo uní"
"Indicativo
Pretérito

tú [unir]";"tú uniste"
"Indicativo
Pretérito

él [unir]";"él unió"
"Indicativo
Pretérito

ella [unir]";"ella unió"
"Indicativo
Pretérito

Usted [unir]";"Usted unió"
"Indicativo
Pretérito

nosotros [unir]";"nosotros unimos"
"Indicativo
Pretérito

nosotras [unir]";"nosotras unimos"
"Indicativo
Pretérito

vosotros [unir]";"vosotros unisteis"
"Indicativo
Pretérito

vosotras [unir]";"vosotras unisteis"
"Indicativo
Pretérito

ellos [unir]";"ellos unieron"
"Indicativo
Pretérito

ellas [unir]";"ellas unieron"
"Indicativo
Pretérito

Ustedes [unir]";"Ustedes unieron"
"Indicativo
Pretérito

yo [valer]";"yo valí"
"Indicativo
Pretérito

tú [valer]";"tú valiste"
"Indicativo
Pretérito

él [valer]";"él valió"
"Indicativo
Pretérito

ella [valer]";"ella valió"
"Indicativo
Pretérito

Usted [valer]";"Usted valió"
"Indicativo
Pretérito

nosotros [valer]";"nosotros valimos"
"Indicativo
Pretérito

nosotras [valer]";"nosotras valimos"
"Indicativo
Pretérito

vosotros [valer]";"vosotros valisteis"
"Indicativo
Pretérito

vosotras [valer]";"vosotras valisteis"
"Indicativo
Pretérito

ellos [valer]";"ellos valieron"
"Indicativo
Pretérito

ellas [valer]";"ellas valieron"
"Indicativo
Pretérito

Ustedes [valer]";"Ustedes valieron"
"Indicativo
Pretérito

yo [vencer]";"yo vencí"
"Indicativo
Pretérito

tú [vencer]";"tú venciste"
"Indicativo
Pretérito

él [vencer]";"él venció"
"Indicativo
Pretérito

ella [vencer]";"ella venció"
"Indicativo
Pretérito

Usted [vencer]";"Usted venció"
"Indicativo
Pretérito

nosotros [vencer]";"nosotros vencimos"
"Indicativo
Pretérito

nosotras [vencer]";"nosotras vencimos"
"Indicativo
Pretérito

vosotros [vencer]";"vosotros vencisteis"
"Indicativo
Pretérito

vosotras [vencer]";"vosotras vencisteis"
"Indicativo
Pretérito

ellos [vencer]";"ellos vencieron"
"Indicativo
Pretérito

ellas [vencer]";"ellas vencieron"
"Indicativo
Pretérito

Ustedes [vencer]";"Ustedes vencieron"
"Indicativo
Pretérito

yo [vender]";"yo vendí"
"Indicativo
Pretérito

tú [vender]";"tú vendiste"
"Indicativo
Pretérito

él [vender]";"él vendió"
"Indicativo
Pretérito

ella [vender]";"ella vendió"
"Indicativo
Pretérito

Usted [vender]";"Usted vendió"
"Indicativo
Pretérito

nosotros [vender]";"nosotros vendimos"
"Indicativo
Pretérito

nosotras [vender]";"nosotras vendimos"
"Indicativo
Pretérito

vosotros [vender]";"vosotros vendisteis"
"Indicativo
Pretérito

vosotras [vender]";"vosotras vendisteis"
"Indicativo
Pretérito

ellos [vender]";"ellos vendieron"
"Indicativo
Pretérito

ellas [vender]";"ellas vendieron"
"Indicativo
Pretérito

Ustedes [vender]";"Ustedes vendieron"
"Indicativo
Pretérito

yo [venir]";"yo vine"
"Indicativo
Pretérito

tú [venir]";"tú viniste"
"Indicativo
Pretérito

él [venir]";"él vino"
"Indicativo
Pretérito

ella [venir]";"ella vino"
"Indicativo
Pretérito

Usted [venir]";"Usted vino"
"Indicativo
Pretérito

nosotros [venir]";"nosotros vinimos"
"Indicativo
Pretérito

nosotras [venir]";"nosotras vinimos"
"Indicativo
Pretérito

vosotros [venir]";"vosotros vinisteis"
"Indicativo
Pretérito

vosotras [venir]";"vosotras vinisteis"
"Indicativo
Pretérito

ellos [venir]";"ellos vinieron"
"Indicativo
Pretérito

ellas [venir]";"ellas vinieron"
"Indicativo
Pretérito

Ustedes [venir]";"Ustedes vinieron"
"Indicativo
Pretérito

yo [ver]";"yo vi"
"Indicativo
Pretérito

tú [ver]";"tú viste"
"Indicativo
Pretérito

él [ver]";"él vio"
"Indicativo
Pretérito

ella [ver]";"ella vio"
"Indicativo
Pretérito

Usted [ver]";"Usted vio"
"Indicativo
Pretérito

nosotros [ver]";"nosotros vimos"
"Indicativo
Pretérito

nosotras [ver]";"nosotras vimos"
"Indicativo
Pretérito

vosotros [ver]";"vosotros visteis"
"Indicativo
Pretérito

vosotras [ver]";"vosotras visteis"
"Indicativo
Pretérito

ellos [ver]";"ellos vieron"
"Indicativo
Pretérito

ellas [ver]";"ellas vieron"
"Indicativo
Pretérito

Ustedes [ver]";"Ustedes vieron"
"Indicativo
Pretérito

yo [vestir]";"yo vestí"
"Indicativo
Pretérito

tú [vestir]";"tú vestiste"
"Indicativo
Pretérito

él [vestir]";"él vistió"
"Indicativo
Pretérito

ella [vestir]";"ella vistió"
"Indicativo
Pretérito

Usted [vestir]";"Usted vistió"
"Indicativo
Pretérito

nosotros [vestir]";"nosotros vestimos"
"Indicativo
Pretérito

nosotras [vestir]";"nosotras vestimos"
"Indicativo
Pretérito

vosotros [vestir]";"vosotros vestisteis"
"Indicativo
Pretérito

vosotras [vestir]";"vosotras vestisteis"
"Indicativo
Pretérito

ellos [vestir]";"ellos vistieron"
"Indicativo
Pretérito

ellas [vestir]";"ellas vistieron"
"Indicativo
Pretérito

Ustedes [vestir]";"Ustedes vistieron"
"Indicativo
Pretérito

yo [vivir]";"yo viví"
"Indicativo
Pretérito

tú [vivir]";"tú viviste"
"Indicativo
Pretérito

él [vivir]";"él vivió"
"Indicativo
Pretérito

ella [vivir]";"ella vivió"
"Indicativo
Pretérito

Usted [vivir]";"Usted vivió"
"Indicativo
Pretérito

nosotros [vivir]";"nosotros vivimos"
"Indicativo
Pretérito

nosotras [vivir]";"nosotras vivimos"
"Indicativo
Pretérito

vosotros [vivir]";"vosotros vivisteis"
"Indicativo
Pretérito

vosotras [vivir]";"vosotras vivisteis"
"Indicativo
Pretérito

ellos [vivir]";"ellos vivieron"
"Indicativo
Pretérito

ellas [vivir]";"ellas vivieron"
"Indicativo
Pretérito

Ustedes [vivir]";"Ustedes vivieron"
"Indicativo
Pretérito

yo [volver]";"yo volví"
"Indicativo
Pretérito

tú [volver]";"tú volviste"
"Indicativo
Pretérito

él [volver]";"él volvió"
"Indicativo
Pretérito

ella [volver]";"ella volvió"
"Indicativo
Pretérito

Usted [volver]";"Usted volvió"
"Indicativo
Pretérito

nosotros [volver]";"nosotros volvimos"
"Indicativo
Pretérito

nosotras [volver]";"nosotras volvimos"
"Indicativo
Pretérito

vosotros [volver]";"vosotros volvisteis"
"Indicativo
Pretérito

vosotras [volver]";"vosotras volvisteis"
"Indicativo
Pretérito

ellos [volver]";"ellos volvieron"
"Indicativo
Pretérito

ellas [volver]";"ellas volvieron"
"Indicativo
Pretérito

Ustedes [volver]";"Ustedes volvieron"
"Indicativo
Pretérito

yo [yacer]";"yo yací"
"Indicativo
Pretérito

tú [yacer]";"tú yaciste"
"Indicativo
Pretérito

él [yacer]";"él yació"
"Indicativo
Pretérito

ella [yacer]";"ella yació"
"Indicativo
Pretérito

Usted [yacer]";"Usted yació"
"Indicativo
Pretérito

nosotros [yacer]";"nosotros yacimos"
"Indicativo
Pretérito

nosotras [yacer]";"nosotras yacimos"
"Indicativo
Pretérito

vosotros [yacer]";"vosotros yacisteis"
"Indicativo
Pretérito

vosotras [yacer]";"vosotras yacisteis"
"Indicativo
Pretérito

ellos [yacer]";"ellos yacieron"
"Indicativo
Pretérito

ellas [yacer]";"ellas yacieron"
"Indicativo
Pretérito

Ustedes [yacer]";"Ustedes yacieron"
